Acroide,,Roger,,0000-1617,1600-1617,,Archdeacon of York,,Fasti,Acroid (CP),
Ardern,,Thomas,,0000-0000,1556-1562,,Prebendary of Weighton,,Fasti,,
Ascham,,Roger,,1515-1568,1559-1568,,Prebendary of Wetwang,,Fasti; ODNB,,Year of birth given as 1514/1515 in ODNB
Asheburne,,Christopher,,0000-1584,1571-1573,,"Prebendary of Tockerington; Prebendary of North Newbald, 1575-1584",,Fasti,,
Atkinson,,Thomas,,0000-1571,1560-1571,,Prebendary of Stillington,,Fasti,,
Aylmer,,Theophilus,,0000-? 1626,1591-1626,,Prebendary of Botevant,,Fasti,,
Babthorpe,,Robert,,0000-1570,1548-1570,,Subdean of York,,Fasti,,"Possibly also Prebendary of Ulleskelf, 1544-1544"
Banks,,Henry,,0000-0000,1613-1615,,"Precentor of York; Prebendary of Riccall, 1595-1613; Prebendary of Bugthorpe, 1615-1623; Rector, Setterington",,Fasti,Bankes (CP),
Banks,,William,,0000-1641,1623-1641,,Prebendary of Bugthorpe,,Fasti,,
Bardon,,John,,0000-1613,1600-1613,,Prebendary of Bugthorpe,,Fasti,,
Barkesdale,,William,,0000-? 1629,1590-1629,,Prebendary of Barnby,,Fasti,,
Barlow,,Barnabas,,0000-1657,1640-1657,,Prebendary of Dunnington,,Fasti,,
Barlow,,William,,1544-1625,1617-? 1625,,Prebendary of Strensall,,Fasti; ODNB,,ODNB gives firmer dates of birth/death than Fasti
Barnardiston,,William,,0000-? 1554,1534-1554,,Prebendary of Grindal,,Fasti,,Presumably dead by Dec 1554
Barnes,,Emanuel,,0000-1614,1602-1614,,Prebendary of Fenton,,Fasti,,
Barnes,,Richard,,? 1532-1587,1561-1571,,Chancellor of York,,Fasti; ODNB,,"Also Bishop of Carlisle, 1570-1577; Bishop of Durham, 1577-1587"
Basset,,James,,0000-0000,1554-1556,,Prebendary of Botevant,,Fasti,,
Bate,,Henry,,0000-0000,1605-1613,,Prebendary of Bole,,Fasti,,
Bayley,,Richard,,? 1586-1667,1628-1635,,Archdeacon of Nottingham,,Fasti; ODNB,Baylie (ODNB),
Belassis,,Anthony,,0000-1552,1549-1552,,Prebendary of Knaresborough,,Fasti; ODNB,,
Bell,,Thomas,,0000-? 1637,1614-1637,,Prebendary of South Newbald,,Fasti,,Also Rector of Beeford
Bell,Master,William,,0000-0000,1554-0000,,Prebendary of Bilton,,Fasti,,In office until at least 1559?
Benet,Sir,John,Knight,0000-0000,1591-1608,,Prebendary of Langtoft,,Fasti,,Knighted 1603
Benet,,Walter,,0000-1614,1608-1614,,Prebendary of Langtoft,,Fasti,,
Benson,,Thomas,,0000-1644,1625-1644,,Prebendary of Holme (Archiepiscopi),,Fasti,,
Byrde,,Richard,,0000-1609,1589-1601,,Archdeacon of Cleveland,,Fasti; ODNB,Bird (ODNB),
Blake,,Anthony,,0000-1570,1562-1570,,Prebendary of Tockerington,,Fasti,,
Blakiston,,Marmaduke,,0000-0000,1615-1625,,"Archdeacon of the East Riding; Prebendary of Wistow, 1615-1625",,Fasti,Blackiston (ODNB),"Also Canon of 7th Prebend, Durham Cathedral, 1599-1631; mentioned in ODNB article on Thomas Morton as 'Blackiston'"
Blakiston,,Thomas,,0000-? 1660,1623-1660,,Prebendary of Wistow,,Fasti,,Dead by 1660
Blethin,,William,,0000-1590,1567-1567,,Prebendary of Osbaldwick,,Fasti; ODNB,Bleddyn (ODNB),"Also Bishop of Llandaff, 1575-1590; ODNB gives dates of office of Prebendary of Osbaldwick as 1562-0000"
Blithe,,George,,0000-0000,1557-? 0000,,Prebendary of Tockerington,,Fasti,,In office until at least 1559
Boleyn,,George,,0000-1603,1559-1603,,Prebendary of Ulleskelf,,Fasti; ODNB,,"Also Dean of Lichfield, 1576-1603"
Boleyn,,William,,0000-1552,1529-1552,,Prebendary of Strensall,,Fasti,,
Boston,,John,,0000-c 1660,1629-0000,,Prebendary of Barnby,,Fasti,,
Boxall,,John,,1525-1571,1558-1559,,Prebendary of Stillington,,Fasti; ODNB,,Year of birth given in ODNB as 1524/5; also Rector of Bolton Percy
Bramhall,,John,,1594-1663,1632-1634,,Prebendary of Husthwaite,,Fasti; ODNB,,"Also Rector of St Martin's Micklegate, York, 1617-1618; South Kilvington, 1618-1633; Bishop of Derry, 1634-? 1660; Archbishop of Armagh, 1660-1663"
Bransby,,John,,0000-1549,1541-1549,,Prebendary of Knaresborough,,Fasti,,
Briskin,,Griffin,,0000-? 1608,1589-1608,,Prebendary of Osbaldwick,,Fasti,,
Broadley,,John,,0000-1626,1601-1626,,Prebendary of Warthill,,Fasti,Bradley,
Brode,,Philip,,0000-1551,1548-1551,,Prebendary of Givendale,,Fasti,,Dead by 1551
Brooke,,John,,0000-1617,1615-1617,,"Precentor of York; Prebendary of Bugthorpe, 1613-1615",,Fasti,,Exchange with Henry Banks
Bucke,,John,,0000-1588,1566-1588,,Prebendary of Grindal,,Fasti,,
Bungey,,John,,0000-1617,1615-1617,,Prebendary of Bilton,,Fasti,,
Bunney,,Edmund,,1540-1618,1570-1576,,"Subdean of York; Prebendary of Wistow, 1575-1618",,Fasti; ODNB,Bunny (ODNB),
Burton,,Richard,,0000-1615,1613-1615,,Prebendary of Fridaythorpe,,Fasti,,
Burton,,Thomas,,0000-0000,1587-1590,,Prebendary of Tockerington,,Fasti,,
Buttrie,,John,,0000-1550,1540-1550,,Prebendary of Botevant,,Fasti,,Dead by 1550
Bing,,Andrew,,1574-1652,1606-1652,,"Subdean of York; Prebendary of Givendale, 1600-1652",,Fasti; ODNB,Byng (ODNB),
Bing,,Thomas,,0000-1599,1567-? 1599,,Prebendary of Strensall,,Fasti; ODNB,Byng (ODNB),ODNB gives death in Dec 1599; Fasti gives 1599-1600
Cansfield,,Robert,,0000-0000,1589-1596,,Prebendary of Grindal,,Fasti,Chancefeld (Fasti),
Chaderton,,William,,0000-1608,1568-1575,,"Archdeacon of York; Prebendary of Fenton, 1574-1579",,Fasti; ODNB,,"Also Bishop of Chester, 1579-1595"
Chamber,,John,,0000-0000,1533-0000,,Prebendary of Wetwang,,Fasti,,"ck ODNB, Chambre; Fasti states not clear who held prebend until 1557"
Cheston,,Thomas,,0000-1566,1555-1566,,Prebendary of Grindal,,Fasti,,Dead by 1566
Clement,,Thomas,,0000-0000,1554-1564,,Prebendary of Apesthorpe,,Fasti,,
Clennocke,,Maurice,,c 1525-? 1580,1556-1561,,Prebendary of Botevant,,Fasti; ODNB,Clenock; Clenocke; Morys Clynnog (ODNB),
Cleyburghe,,William,,0000-0000,1549-1554,,Prebendary of Ampleforth,,Fasti,,
Clifton,,William,,0000-1548,1529-1548,,Subdean of York,,Fasti,,
Clyff,Master,William,,0000-1558,1538-1547,,"Treasurer of York and Prebendary of Wilton; Precentor of York, 1534-1538",,Fasti; ODNB,Clyffe (ODNB),"Also Dean of Chester, 1547-1558"
Cocke,,James,,0000-1591,1585-1591,,Prebendary of Langtoft,,Fasti,,
Cole,,Thomas,,0000-? 1615,1582-1615,,Prebendary of Holme (Archiepiscopi),,Fasti,,Also Rector of Kirkby in Cleveland
Coltman,Master,John,,0000-1553,1546-1553,,Prebendary of Apesthorpe,,Fasti,,Dead by 1553
Constable,Master,William,,0000-? 1556,1532-1556,,Prebendary of Weighton,,Fasti,,"Year of death in Fasti unclear, but 1555, 1556 or 1558"
Coppinger,,Ambrose,,0000-1644,1619-1644,,Prebendary of Apesthorpe,,Fasti,,
Coppinger,,Henry,,0000-0000,1591-1619,,Prebendary of Apesthorpe,,Fasti,,
Coryett,,George,,0000-0000,1595-1601,,Prebendary of Warthill,,Fasti,,
Cosin,,John,,1595-1672,1625-1660,,Archdeacon of the East Riding,,Fasti; ODNB,Cousen (CP),"Also Bishop of Durham, 1660-1672"
Cottesford,Master,Thomas,,0000-0000,1553-1554,,Prebendary of Apesthorpe,,Fasti,,
Coulton,,Ralph,,0000-1582,1570-1582,,"Archdeacon of Cleveland; Prebendary of Home (Archiepiscopi), 1573-1582",,Fasti,,
Crashawe,,William,,0000-? 1626,1617-1626,,Prebendary of Osbaldwick,,Fasti,,
Crosthwaite,,James,,0000-1579,1573-1579,,Prebendary of Tockerington,,Fasti,,
Dakyn,,John,,0000-1558,1551-1558,,Archdeacon of the East Riding,,Fasti,,"ck also Prebendary of Bilton, 1548-1550; Prebendary of Fenton, 1550-1558"
Dangarde,,John,,0000-1594,1561-1594,,Prebendary of Warthill,,Fasti,,
Davell,,Robert,,0000-1559,1541-1558,,Prebendary of Holme (Archiepiscopi),,Fasti,,Presumably dead by 1558
