New Folio No. ,Entry No.,Entry Part,Person - Title,Person - First name,Person - Last Name - Prefix,Person - Last Name - as written,Person -  Qualification,Person - further description,Person - place of residence - as written,Role - role in entry,Role - associated place - as written,Role - associated place - type,Occupation 1  - employment,Status 1  - office,Status 1 - associated place - as written,Status 1 - associated place - standard,Status 1 - associated place - type,Status 2 - office,Status 2 - associated place - as written,Status 2 - associated place - type,Status 3 - office,Status 3 - Place - as written,Status 3 - Place - Type,Status 4,Status 4 - place - as written,Status 4 - place - type,Status 5,Status 5 - place - as written,Status 5 - place - type,Status 6,Status 6 - place - as written,Status 6 - place - type
83 r - 83 r,1058,,,William,de,Furnyvall,,,,testator,,,knight,,,,,,,,,,,,,,,,,,,
83 r - 83 r,1059,,,William,de,Furnyvall,,,,testator,,,knight,,,,,,,,,,,,,,,,,,,
83 r - 83 v,1060,,,William,de,Furnyvall,,,,testator,,,knight,,,,,,,,,,,,,,,,,,,
84 r - 84 r,1076,,,Joan,,,,once the wife of John Frere,,testatrix,,,,,,,,,,,,,,,,,,,,,,
84 r - 84 r,1076,,,John,,Frere,,,,former husband of testatrix,,,,,,,,,,,,,,,,,,,,,,
84 r - 84 r,1077,,,Ralph,,Torkerd'/Torkard',,,de Notyngham,testator (indexed as Torkardy),,,,,,,,,,,,,,,,,,,,,,
88 v - 88 v,1124,,Master,Humphrey,de,Cherleton,,,,testator,,,,archdeacon,Richem',,,,,,,,,,,,,,,,,
97 r - 97 r,1232,,Sir,John,de,Segbruke,,,,testator - not in index,,,,rector,Carleton in Kesteyne Lincolnien dioce,,,,,,,,,,,,,,,,,
98 v - 98 v,1234,,,Thomas,de,Thwayt,,,de Merston',testator,,,,,,,,,,,,,,,,,,,,,,
98 v - 98 v,1235,,Sir,Robert,de,Craven,,,,testator,,,,rector,Huton' Bussell/Buscell in pikerynglith,,"church, moiety",,,,,,,,,,,,,,,
100 r - 100 r,1245,,,Alexander,,,,,,sender,,,,archbishop,,,,,,,,,,,,,,,,,,
