New Folio No. and Face,Position in volume,Format,Language,Entry No.,Entry Part,Section - Type,Printed,Document Notes,Editors' Notes,Condition - Conservation Survey,Subject - Main heading 1,Subject - Sub-heading 1,Subject - Sub-sub-heading 1,Subject - Main heading 2,Subject - Sub-heading 2,Subject - Sub-sub-heading 2,Subject - Main heading 3,Subject - Sub-heading 3,Subject - Sub-sub-heading 3,Subject - Main heading 4,Subject - Sub-heading 4,Subject - Sub-sub-heading 4
79 r - 79 r,,Parchment,Latin,1005,,Archdeaconry of Nottingham,,,,,Benefice and office holding,Institutions,chantry chaplain,,,,,,,,,
79 r - 79 r,,Parchment,Latin,1006,,Archdeaconry of Nottingham,,mandate,,,Benefice and office holding,Inductions,chantry chaplain,,,,,,,,,
79 r - 79 r,,Parchment,Latin,1007,,Archdeaconry of Nottingham,,mandate,,,Benefice and office holding,Inductions,rector,,,,,,,,,
79 r - 79 r,,Parchment,Latin,1008,,Archdeaconry of Nottingham,,,,,Benefice and office holding,Institutions,chantry chaplain,,,,,,,,,
79 r - 79 r,,Parchment,Latin,1009,,Archdeaconry of Nottingham,,,,,Benefice and office holding,Institutions,chantry chaplain,,,,,,,,,
79 r - 79 r,,Parchment,Latin,1010,,Archdeaconry of Nottingham,,mandate,,,Benefice and office holding,Inductions,chantry chaplain,,,,,,,,,
79 r - 79 r,,Parchment,Latin,1011,,Archdeaconry of Nottingham,,,,,Benefice and office holding,Institutions,rector,,,,,,,,,
79 r - 79 r,,Parchment,Latin,1012,,Archdeaconry of Nottingham,,mandate,,,Benefice and office holding,Inductions,rector,,,,,,,,,
79 r - 79 r,,Parchment,Latin,1013,,Archdeaconry of Nottingham,,,,,Benefice and office holding,Absence,fixed term,,,,,,,,,
79 r - 79 r,,Parchment,Latin,1014,,Archdeaconry of Nottingham,,,,,Benefice and office holding,Institutions,rector,,,,,,,,,
79 r - 79 r,,Parchment,Latin,1015,,Archdeaconry of Nottingham,,mandate,,,Benefice and office holding,Inductions,rector,,,,,,,,,
