New Folio No. ,Entry No.,Entry Part,Date Range - Standard - Start,Date Range - Standard - End,Date - Inferred,Date - Uncertain,Date - Approximate,Date - Type,Place - As Written,Place - Type,Date - Notes,Recited Date 1 Range - Standard - Start,Recited Date Range - Standard - End,Recited Date - Inferred,Recited Date - Uncertain,Recited Date - Approximate,Recited Date 1 - Type,Recited Date 1 - Place - As Written,Recited Date 1 - Place - Type,Recited Date 1- Notes,Recited date 2 - standard,Recited date 2 - place - as written,Recited date 2 - place - type
38 r - 38 r,512,,1375-04-28,,,,,Document date,Cawode,,,,,,,,,,,,,,
38 r - 38 r,513,,1375-04-28,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,
38 r - 38 r,514,,1375-06-07,,,,,Document date,Cawode,,,,,,,,,,,,,,
38 r - 38 r,515,,1375-06-07,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,
38 r - 38 v,516,,1375-09-10,,,,,Document date,Cawode,,,,,,,,,,,,,,
38 v - 38 v,517,,1375-09-19,,,,,Document date,Cawod,,,,,,,,,,,,,,
38 v - 38 v,518,,1375-09-19,,,,,Memorandum date,Cawod,,,,,,,,,,,,,,
38 v - 38 v,519,,1375-10-03,,,,,Memorandum date,,,,,,,,,,,,,,,
38 v - 38 v,520,,[1375]-10-12,,,,,Memorandum date,,,"Year not given, but presumably 1375",,,,,,,,,,,,
38 v - 38 v,521,,1375-10-21,,,,,Memorandum date,,,Date given as 'xxi primo die mensis octobr',,,,,,,,,,,,
38 v - 38 v,522,,1375-10-23,,,,,Document date,Cawode,,,,,,,,,,,,,,
38 v - 38 v,523,,1375-10-23,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,
38 v - 39 r,524,,1375-11-20,,,,,Document date,Lythom',,,1375-10-29,,,,,Document date,Ferryng',bishop's manor,,,,
39 r - 39 r,525,,1375-11-20,,,,,Document date,Lythu',,,,,,,,,,,,,,
39 r - 39 r,526,,1375-11-20,,,,,Document date,Lythom,,,,,,,,,,,,,,
39 r - 39 r,527,,1375-11-20,,,,,Memorandum date,Lythom,,,,,,,,,,,,,,
39 r - 39 r,528,,1375-11-26,,,,,Document date,Seton,,,[0000-00-00],,,,,,,,"Undated, but document appears with others dated in 1375",,,
39 r - 39 r,529,,1375-11-26,,,,,Document date,Seton,,"Dated 'as above', as entry 526",,,,,,,,,,,,
39 r - 39 r,530,,1375-11-26,,,,,Document date,Seton,,"Dated 'as above', as entry 526",,,,,,,,,,,,
39 r - 39 v,531,,1375-11-30,,,,,Document date,Whitteby,,,,,,,,,,,,,,
39 v - 39 v,532,,1375-12-17,,,,,Document date,Cawode,,,,,,,,,,,,,,
39 v - 39 v,533,,1375-12-17,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,
39 v - 39 v,534,,1375-12-30,,,,,Document date,Cawode,,,,,,,,,,,,,,
39 v - 39 v,535,,1375-12-03,,,,,Document date,Brompton',,,,,,,,,,,,,,
39 v - 39 v,536,,1376-04-10,,,,,Document date,Cawod,,,,,,,,,,,,,,
39 v - 39 v,537,,1376-09-15,,,,,Memorandum date,Cawod,,,,,,,,,,,,,,
39 v - 39 v,538,,1376-04-17,,,,,Document date,Cawode,,,,,,,,,,,,,,
39 v - 39 v,539,,1376-04-18,,,,,Memorandum date,,,,,,,,,,,,,,,
39 v - 39 v,540,,1376-05-10,,,,,Memorandum date,London',archbishop's manor near Westm',,,,,,,,,,,,,
39 v - 39 v,541,,1376-05-10,,,,,Memorandum date,,,,,,,,,,,,,,,
39 v - 39 v,542,,1376-07-01,,,,,Memorandum date,London',,,,,,,,,,,,,,
40 r - 40 r,543,,1376-06-10,,,,,Document date,London',archbishop's manor near Westm',,,,,,,,,,,,,
40 r - 40 r,544,,1376-06-10,,,,,Memorandum date,London',archbishop's manor near Westm',,,,,,,,,,,,,
40 r - 40 r,545,,1376-02-20,,,,,Document date,Cawod,,,,,,,,,,,,,,
40 r - 40 r,546,,1376-09-10,,,,,Document date,Cawod,,,,,,,,,,,,,,
40 r - 40 r,547,,1376-10-08,,,,,Document date,London',,,,,,,,,,,,,,
40 r - 40 r,548,,1376-12-22,,,,,Memorandum date,,,,,,,,,,,,,,,
40 r - 40 r,549,,1376-12-23,,,,,Document date,Thorp iuxta Ebor,,,,,,,,,,,,,,
40 v - 40 v,550,,1376-12-22,,,,,Document date,Cawod,,,,,,,,,,,,,,
40 v - 40 v,551,,1377-01-05,,,,,Document date,Thorp'iuxta Ebor',,,,,,,,,,,,,,
40 v - 40 v,552,,1377-05-06,,,,,Document date,Cawode,,,,,,,,,,,,,,
40 v - 40 v,553,,1377-05-06,,,,,Document date,Cawod,,,,,,,,,,,,,,
40 v - 40 v,554,,1377-05-06,,,,,Memorandum date,Cawod,,,,,,,,,,,,,,
40 v - 40 v,555,,1377-05-20,,,,,Document date,Cawode,,,,,,,,,,,,,,
40 v - 40 v,556,,1377-05-26,,,,,Memorandum date,,,,,,,,,,,,,,,
41 r - 41 r,557,,1377-06-09,,,,,Document date,Cawode,,,,,,,,,,,,,,
41 r - 41 r,558,,1377-06-29,,,,,Memorandum date,,,,,,,,,,,,,,,
41 r - 41 r,559,,1377-09-03,,,,,Document date,Cawode,,,,,,,,,,,,,,
41 r - 41 r,560,,1377-09-03,,,,,Document date,Cawode,,,,,,,,,,,,,,
41 r - 41 r,561,,1377-09-03,,,,,Document date,Cawode,archbishop's manor,,,,,,,,,,,,,
41 r - 41 r,562,,1377-09-03,,,,,Memorandum date,Cawode,archbishop's manor,,,,,,,,,,,,,
41 r - 41 r,563,,1377-10-02,,,,,Document date,Cawode,,,,,,,,,,,,,,
41 r - 41 r,564,,1377-10-02,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,
41 r - 41 r,565,,1377-10-02,,,,,Document date,Cawode,,,,,,,,,,,,,,
41 r - 41 r,566,,1377-10-02,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,
41 v - 41 v,567,,1377-12-20,,,,,Document date,Cawode,,,,,,,,,,,,,,
41 v - 41 v,568,,1377-12-20,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,
41 v - 41 v,569,,[1377-00-00],,,,,Memorandum date,,,"Undated, but document appears with others dated in 1377",,,,,,,,,,,,
41 v - 41 v,570,,1378-10-30,,,,,Document date,Gloucestr',,,,,,,,,,,,,,
41 v - 41 v,571,,1378-10-30,,,,,Memorandum date,Gloucestr',,,,,,,,,,,,,,
41 v - 41 v,572,,1378-11-00,,,,,Memorandum date,,,Day of date is blank,,,,,,,,,,,,
41 v - 41 v,573,,1378-12-05,,,,,Document date,Cawode,,,,,,,,,,,,,,
41 v - 41 v,574,,1378-12-05,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,
41 v - 41 v,575,,1378-12-20,,,,,Document date,Cawode,,Dated 'on the day and in the year abovewritten',,,,,,,,,,,,
41 v - 41 v,576A,,1378-12-20,,,,,Document date,Cawode,,,,,,,,,,,,,,
41 v - 41 v,576B,,1378-12-20,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,
42 r - 42 r,577,,1379-02-13,,,,,Document date,Cawode,,,,,,,,,,,,,,
42 r - 42 r,578,,1379-02-13,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,
42 r - 42 r,579,,1379-04-30,,,,,Document date,Cawode,,,,,,,,,,,,,,
42 r - 42 r,580,,1379-04-30,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,
42 r - 42 r,581,,1379-08-14,,,,,Document date,Cawode,,,,,,,,,,,,,,
42 r - 42 r,582,,1379-08-14,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,
42 r - 42 r,583,,1379-10-09,,,,,Document date,Cawode,,,,,,,,,,,,,,
42 r - 42 r,584,,1379-10-09,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,
42 r - 42 r,585,,1379-00-00,,,,,Document date,Cawode,,"No day or month given, therefore might be dated in 1379 or 1380",,,,,,,,,,,,
42 r - 42 r,586,,1380-05-16,,,,,Document date,Cawode,,,,,,,,,,,,,,
42 r - 42 r,587,,1380-05-16,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,
42 r - 42 r,588,,1380-05-27,,,,,Document date,Thorp' iuxta Ebor',,,,,,,,,,,,,,
42 r - 42 r,589,,1380-09-09,,,,,Document date,Cawode,,,,,,,,,,,,,,
42 r - 42 r,590,,1380-09-09,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,
42 v - 42 v,591,,1380-07-12,,,,,Document date,Cawode,,,,,,,,,,,,,,
42 v - 42 v,592,,1380-12-24,,,,,Document date,Cawode,,,,,,,,,,,,,,
42 v - 42 v,593,,1381-03-14,,,,,Document date,Beverlac',,,,,,,,,,,,,,
42 v - 42 v,594,,1381-03-14,,,,,Memorandum date,Beverlac',,,,,,,,,,,,,,
42 v - 43 r,595,,1380-07-01,,,,,Document date,Stokeslay,,,1380-07-01,,,,,Event date,,,,1380-06-30,Cawode,
43 r - 43 r,596,,1381-04-20,,,,,Document date,Beverlac',archbishop's manor,,,,,,,,,,,,,
43 r - 43 r,597,,1381-04-20,,,,,Memorandum date,Beverlac',archbishop's manor,,,,,,,,,,,,,
43 r - 43 r,598,,1381-05-16,,,,,Document date,Beverlac',archbishop's manor,,,,,,,,,,,,,
43 r - 43 r,599,,[0000-00-00],,,,,Document date,,,"Undated; incomplete, but document appears with others dated in 1381",,,,,,,,,,,,
43 r - 43 r,600,,1382-10-27,,,,,Document date,Cawode,archbishop's manor,,,,,,,,,,,,,
43 r - 43 r,601,,1382-10-27,,,,,Memorandum date,Cawode,archbishop's manor,,,,,,,,,,,,,
43 r - 43 r,602,,1382-11-02,,,,,Document date,Cawod,,,,,,,,,,,,,,
